Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Wendell,2,0,1,2,0,1,4,4,6,0,4,4,3,8,39,2.79,9.92%,1
Domenick,4,6,3,4,0,4,3,9,2,4,5,2,5,17,68,4.86,17.30%,2
Laurel,0,1,0,1,0,3,0,1,3,4,2,3,3,6,27,1.93,6.87%,3
Angela,0,0,4,1,0,2,0,0,2,3,0,0,0,3,15,1.07,3.82%,4
Donathan,4,2,1,1,3,0,3,0,1,2,4,2,7,3,33,2.36,8.40%,5
Sebastian,1,0,1,1,1,1,0,0,0,1,1,0,3,2,12,0.86,3.05%,6
Kellyn,2,0,2,5,1,3,4,3,1,4,6,6,4,0,41,3.15,10.43%,7
Chelsea,0,0,0,1,0,1,1,0,0,0,0,1,0,0,4,0.33,1.02%,8
Michael,2,2,1,2,4,3,5,2,3,4,4,0,0,0,32,2.91,8.14%,9
Jenna,1,1,1,0,2,1,0,1,2,0,3,0,0,0,12,1.09,3.05%,10
Desiree,1,0,0,0,1,4,2,1,0,5,0,0,0,0,14,1.40,3.56%,11
Libby,0,0,4,0,0,0,2,1,4,0,0,0,0,0,11,1.22,2.80%,12
Chris,1,1,3,2,3,2,1,13,0,0,0,0,0,0,26,3.25,6.62%,13
Bradley,0,0,0,2,3,3,4,0,0,0,0,0,0,0,12,1.71,3.05%,14
James,1,1,2,0,1,2,0,0,0,0,0,0,0,0,7,1.17,1.78%,15
Stephanie,2,3,3,1,3,0,0,0,0,0,0,0,0,0,12,2.40,3.05%,16
Brendan,1,1,2,1,0,0,0,0,0,0,0,0,0,0,5,1.25,1.27%,17
Morgan,0,2,4,0,0,0,0,0,0,0,0,0,0,0,6,2.00,1.53%,18
Jacob,9,6,0,0,0,0,0,0,0,0,0,0,0,0,15,7.50,3.82%,19
Gonzalez,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.51%,20
