Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Kim,2,0,2,2,4,2,1,6,5,1,6,7,7,8,53,3.79,13.87%,1
Sabrina,9,7,1,3,2,2,1,1,3,0,4,3,3,3,42,3.00,10.99%,2
Chelsea,3,1,7,1,0,0,4,3,3,2,1,4,6,3,38,2.71,9.95%,3
Christina,1,1,0,1,1,4,0,1,0,0,1,1,0,5,16,1.14,4.19%,4
Alicia,6,2,0,1,5,6,1,0,2,2,1,4,8,3,41,2.93,10.73%,5
Tarzan,1,0,0,2,0,1,3,1,2,0,1,1,6,0,18,1.38,4.71%,6
Kat,0,1,1,1,0,2,0,0,2,0,4,4,0,0,15,1.25,3.93%,7
Troyzan,3,1,3,1,1,2,5,3,7,14,9,0,0,0,49,4.45,12.83%,8
Leif,1,0,0,1,0,1,0,1,0,0,0,0,0,0,4,0.40,1.05%,9
Jay,3,1,1,1,1,1,1,4,6,0,0,0,0,0,19,2.11,4.97%,10
Michael,3,3,0,2,0,0,2,2,0,0,0,0,0,0,12,1.50,3.14%,11
Jonas,3,1,1,1,3,4,4,0,0,0,0,0,0,0,17,2.43,4.45%,12
Colton,6,4,3,3,7,6,0,0,0,0,0,0,0,0,29,4.83,7.59%,13
Monica,1,2,0,1,2,0,0,0,0,0,0,0,0,0,6,1.20,1.57%,14
Bill,0,1,1,5,0,0,0,0,0,0,0,0,0,0,7,1.75,1.83%,15
Matt,4,0,4,0,0,0,0,0,0,0,0,0,0,0,8,2.67,2.09%,16
Nina,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3.00,1.57%,17
Kourtney,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.52%,18
