Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 12,Ep. 13,Ep. 14,Ep. 15,Total,Average,Percentage,Place
Fabio,3,2,1,0,1,2,1,1,1,4,3,2,5,14,40,2.86,9.62%,1
Chase,2,2,0,2,0,2,2,1,2,4,3,3,6,7,36,2.57,8.65%,2
Sash,1,2,0,0,0,2,2,2,1,2,1,7,2,9,31,2.21,7.45%,3
Holly,2,6,0,0,5,3,2,1,0,3,2,2,2,4,32,2.29,7.69%,4
Dan,0,3,2,1,0,1,0,0,1,1,1,1,1,1,13,0.93,3.13%,5
Jane,1,0,1,2,2,1,4,3,4,6,2,5,2,0,33,2.54,7.93%,6
Benry,0,0,0,0,3,1,0,1,2,5,2,6,0,0,20,1.67,4.81%,7
Kelly S.,0,0,0,0,0,0,1,0,0,0,4,0,0,0,5,0.45,1.20%,8
NaOnka,2,6,7,4,6,2,3,8,3,4,5,0,0,0,50,4.55,12.02%,9
Brenda,2,2,1,2,1,5,1,5,4,4,0,0,0,0,27,2.70,6.49%,10
Marty,3,4,8,5,4,4,3,7,4,0,0,0,0,0,42,4.67,10.10%,11
Alina,4,3,1,2,3,1,0,4,0,0,0,0,0,0,18,2.25,4.33%,12
Jill,0,4,4,3,0,1,2,0,0,0,0,0,0,0,14,2.00,3.37%,13
Yve,0,0,2,1,0,3,0,0,0,0,0,0,0,0,6,1.00,1.44%,14
Kelly B.,3,0,2,1,0,1,0,0,0,0,0,0,0,0,7,1.17,1.68%,15
Tyrone,0,1,3,2,2,0,0,0,0,0,0,0,0,0,8,1.60,1.92%,16
Jimmy T.,3,3,2,3,0,0,0,0,0,0,0,0,0,0,11,2.75,2.64%,17
Jimmy J.,7,4,1,0,0,0,0,0,0,0,0,0,0,0,12,4.00,2.88%,18
Shannon,5,4,0,0,0,0,0,0,0,0,0,0,0,0,9,4.50,2.16%,19
Wendy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.48%,20
