Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Tom,2,1,5,2,1,2,3,3,5,5,7,7,5,9,57,4.07,13.35%,1
Katie,4,1,2,2,0,2,3,3,2,3,5,5,2,5,39,2.79,9.13%,2
Ian,2,4,2,6,1,1,4,2,5,0,6,6,5,6,50,3.57,11.71%,3
Jenn,0,0,0,1,0,1,1,2,1,0,1,3,2,1,13,0.93,3.04%,4
Caryn,1,2,2,1,0,1,2,0,0,4,4,3,4,0,24,1.85,5.62%,5
Gregg,1,0,2,1,2,0,9,0,1,4,3,6,0,0,29,2.42,6.79%,6
Stephenie,3,3,1,6,3,8,6,14,10,3,7,0,0,0,64,5.82,14.99%,7
Janu,3,2,0,0,0,1,0,1,0,8,0,0,0,0,15,1.50,3.51%,8
Coby,5,0,1,1,3,1,4,3,5,0,0,0,0,0,23,2.56,5.39%,9
Bobby Jon,1,4,5,4,2,6,5,7,0,0,0,0,0,0,34,4.25,7.96%,10
Ibrehem,1,0,1,2,2,3,5,0,0,0,0,0,0,0,14,2.00,3.28%,11
James,2,3,2,8,2,2,0,0,0,0,0,0,0,0,19,3.17,4.45%,12
Angie,5,4,1,2,2,0,0,0,0,0,0,0,0,0,14,2.80,3.28%,13
Willard,2,0,0,2,1,0,0,0,0,0,0,0,0,0,5,1.00,1.17%,14
Kim,0,1,3,6,0,0,0,0,0,0,0,0,0,0,10,2.50,2.34%,15
Jeff,0,6,4,0,0,0,0,0,0,0,0,0,0,0,10,3.33,2.34%,16
Ashlee,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.00,0.47%,17
Jolanda,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.70%,18
Wanda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0.23%,19
Jonathan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0.23%,20
