Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 12,Ep. 13,Ep. 14,Ep. 15,Total,Average,Percentage,Place
Sophie,2,1,1,1,0,2,1,1,1,2,2,2,3,6,25,1.79,6.23%,1
Coach,8,9,4,1,6,7,5,1,3,2,7,7,8,10,78,5.57,19.45%,2
Albert,0,0,0,0,3,3,0,0,2,1,2,1,7,6,25,1.79,6.23%,3
Ozzy,9,3,3,1,2,5,5,3,6,1,2,1,0,7,48,3.43,11.97%,4
Rick,2,0,0,0,0,3,0,0,0,0,1,1,0,1,8,0.57,2.00%,5
Brandon,6,5,5,2,2,2,1,0,0,0,0,2,5,1,31,2.21,7.73%,6
Edna,1,1,0,4,0,2,2,0,0,0,4,4,0,0,18,1.38,4.49%,7
Cochran,8,3,3,3,4,2,9,8,1,8,10,2,0,0,61,5.08,15.21%,8
Whitney,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0.36,1.00%,9
Dawn,7,0,0,4,1,1,0,5,2,3,0,0,0,0,23,2.09,5.74%,10
Keith,0,2,1,0,1,1,1,1,0,0,0,0,0,0,7,0.70,1.75%,11
Jim,4,2,2,2,4,2,1,3,4,1,0,0,0,0,25,2.50,6.23%,12
Christine,2,7,3,1,0,0,0,0,0,0,0,0,0,0,13,1.63,3.24%,13
Mikayla,2,2,2,2,0,2,0,0,0,0,0,0,0,0,10,1.43,2.49%,14
Elyse,1,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0.83,1.25%,15
Stacey,2,0,0,6,1,0,0,0,0,0,0,0,0,0,9,1.80,2.24%,16
Mark,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1.50,1.50%,17
Semhar,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1.67,1.25%,18
