Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Michele,2,2,0,0,3,6,3,3,2,2,6,4,12,12,57,4.07,11.54%,1
Aubry,3,0,1,0,1,5,8,2,10,5,5,4,10,16,70,5.00,14.17%,2
Tai,6,7,4,1,5,2,2,1,4,10,4,8,11,9,74,5.29,14.98%,3
Cydney,3,1,3,2,2,0,1,5,3,1,4,2,5,5,37,2.64,7.49%,4
Joe,2,2,0,0,0,4,1,1,2,0,0,4,5,0,21,1.62,4.25%,5
Jason,5,4,6,2,1,0,5,4,2,3,7,5,0,0,44,3.67,8.91%,6
Julia,1,1,0,0,1,3,0,1,3,3,3,0,0,0,16,1.45,3.24%,7
Scot,5,2,3,0,5,2,5,2,6,6,0,0,0,0,36,3.60,7.29%,8
Debbie,4,1,5,3,3,2,4,2,2,0,0,0,0,0,26,2.89,5.26%,9
Nick,3,0,1,0,2,6,11,4,0,0,0,0,0,0,27,3.38,5.47%,10
Neal,5,1,1,0,4,0,5,0,0,0,0,0,0,0,16,2.29,3.24%,11
Peter,3,2,3,1,3,5,0,0,0,0,0,0,0,0,17,2.83,3.44%,12
Anna,6,0,1,0,3,0,0,0,0,0,0,0,0,0,10,2.00,2.02%,13
Alecia,4,6,3,2,0,0,0,0,0,0,0,0,0,0,15,3.75,3.04%,14
Caleb,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,1.50,1.21%,15
Liz,4,4,2,0,0,0,0,0,0,0,0,0,0,0,10,3.33,2.02%,16
Jennifer,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,4.00,1.62%,17
Darnell,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0.81%,18
