Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Sandra,3,0,0,0,0,0,0,4,3,2,4,3,2,6,27,1.93,6.82%,1
Parvati,2,0,2,0,1,1,2,2,6,8,2,3,4,7,40,2.86,10.10%,2
Russel,8,3,2,4,5,3,3,3,4,5,5,7,8,8,68,4.86,17.17%,3
Jerri,3,1,2,0,1,0,1,1,3,0,1,1,4,3,21,1.50,5.30%,4
Colby,7,0,0,1,2,4,3,1,0,1,2,0,0,3,24,1.62,6.06%,5
Rupert,8,1,2,0,1,2,2,0,2,5,5,4,6,0,38,2.67,9.60%,6
Danielle,2,0,0,0,0,0,0,3,0,0,1,2,0,0,8,0.55,2.02%,7
Candice,3,1,1,1,1,1,0,2,0,0,2,0,0,0,12,1.00,3.03%,8
Amanda,5,0,0,3,4,2,0,1,1,3,4,0,0,0,23,1.78,5.81%,9
JT,5,3,2,2,3,2,1,3,2,5,0,0,0,0,28,2.63,7.07%,10
Courtney,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0.33,1.01%,11
Coach,11,1,5,3,2,1,3,6,0,0,0,0,0,0,32,4.40,8.08%,12
Rob,5,4,1,3,2,2,3,0,0,0,0,0,0,0,20,3.25,5.05%,13
James,2,2,1,0,2,1,0,0,0,0,0,0,0,0,8,1.67,2.02%,14
Tyson,1,0,1,2,0,2,0,0,0,0,0,0,0,0,6,0.50,1.52%,15
Tom,5,3,2,5,2,0,0,0,0,0,0,0,0,0,17,5.00,4.29%,16
Cirie,4,0,0,3,0,0,0,0,0,0,0,0,0,0,7,4.00,1.77%,17
Randy,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,1.00,1.26%,18
Stephanie,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2.00,1.52%,19
Sugar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.51%,20
