Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Mike,4,2,2,3,5,2,7,8,5,8,3,5,8,11,73,5.21,15.97%,1
Carolyn,13,0,2,2,3,1,4,1,0,1,3,7,6,7,50,3.57,10.94%,2
Will,3,4,3,2,1,0,1,0,0,5,0,1,2,2,24,1.71,5.25%,3
Rodney,4,2,4,4,1,7,7,6,2,3,2,5,3,2,52,3.71,11.38%,4
Sierra,2,0,0,1,4,4,0,1,1,1,2,1,2,2,21,1.50,4.60%,5
Dan,6,0,1,2,1,1,3,2,0,5,6,5,5,0,37,2.85,8.10%,6
Tyler,3,1,2,0,1,0,5,4,0,1,4,6,0,0,27,2.25,5.91%,7
Shirin,3,1,2,1,3,5,2,3,6,3,4,0,0,0,33,3.00,7.22%,8
Jenn,10,2,4,4,4,2,3,1,4,2,0,0,0,0,36,3.60,7.88%,9
Joe,5,3,4,0,0,2,1,4,7,0,0,0,0,0,26,2.89,5.69%,10
Hali,2,2,2,1,3,1,2,1,0,0,0,0,0,0,14,1.75,3.06%,11
Kelly,1,0,1,3,3,1,3,0,0,0,0,0,0,0,12,1.71,2.63%,12
Joaquin,3,1,2,1,1,2,0,0,0,0,0,0,0,0,10,1.67,2.19%,13
Max,3,2,0,0,5,0,0,0,0,0,0,0,0,0,10,2.00,2.19%,14
Lindsey,2,1,3,1,0,0,0,0,0,0,0,0,0,0,7,1.75,1.53%,15
Nina,1,2,3,0,0,0,0,0,0,0,0,0,0,0,6,2.00,1.31%,16
Vince,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12,6.00,2.63%,17
So,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7.00,1.53%,18
