Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Chris,4,1,0,2,0,1,1,6,4,6,6,9,16,15,71,5.07,16.95%,1
Twila,2,2,2,2,1,4,2,4,4,1,2,5,1,7,39,2.79,9.31%,2
Scout,4,1,0,3,0,1,1,3,2,3,3,2,0,2,25,1.79,5.97%,3
Eliza,6,2,3,5,2,0,2,3,6,5,5,6,7,2,54,3.86,12.89%,4
Julie,1,1,0,2,1,3,3,2,2,0,0,1,9,0,25,1.92,5.97%,5
Ami,1,1,0,1,5,2,3,2,2,8,3,10,0,0,38,3.17,9.07%,6
Leann,3,1,1,2,1,4,1,0,3,1,5,0,0,0,22,2.00,5.25%,7
Chad,2,1,0,1,1,1,3,3,0,3,0,0,0,0,15,1.50,3.58%,8
Lea,4,0,2,2,2,5,2,8,6,0,0,0,0,0,31,3.44,7.40%,9
Rory,3,2,1,6,2,7,6,4,0,0,0,0,0,0,31,3.88,7.40%,10
John K.,1,0,4,2,2,0,5,0,0,0,0,0,0,0,14,2.00,3.34%,11
Lisa,1,0,1,2,1,2,0,0,0,0,0,0,0,0,7,1.17,1.67%,12
Travis,3,2,0,3,4,0,0,0,0,0,0,0,0,0,12,2.40,2.86%,13
Brady,4,0,0,6,0,0,0,0,0,0,0,0,0,0,10,2.50,2.39%,14
Mia,3,1,4,0,0,0,0,0,0,0,0,0,0,0,8,2.67,1.91%,15
John P.,3,1,3,0,0,0,0,0,0,0,0,0,0,0,7,2.33,1.67%,16
Dolly,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3.00,1.43%,17
Brook,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0.95%,18
