Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Parvati,3,1,0,1,0,1,1,4,4,1,3,2,1,10,32,2.29,8.53%,1
Amanda,0,1,0,0,2,1,1,1,4,1,4,4,2,12,33,2.36,8.80%,2
Cirie,2,7,5,1,3,0,6,3,2,4,1,4,4,10,52,3.71,13.87%,3
Natalie,0,0,0,1,1,0,0,0,0,0,7,1,2,5,17,1.21,4.53%,4
Erik,2,2,0,1,3,2,2,5,4,7,1,0,10,0,39,3.00,10.40%,5
Alexis,2,1,2,0,1,1,1,0,4,1,0,3,0,0,16,1.33,4.27%,6
James,3,0,1,1,1,2,2,1,1,1,1,4,0,0,18,1.27,4.80%,7
Jason,4,1,1,0,1,2,0,2,3,4,3,0,0,0,21,1.80,5.60%,8
Ozzy,3,1,1,4,6,2,3,6,2,3,0,0,0,0,31,3.11,8.27%,9
Eliza,3,1,3,4,1,2,0,2,5,0,0,0,0,0,21,2.00,5.60%,10
Ami,2,0,1,0,0,5,3,2,0,0,0,0,0,0,13,1.33,3.47%,11
Tracy,3,3,0,2,0,2,1,0,0,0,0,0,0,0,11,1.60,2.93%,12
Kathy,4,4,1,2,0,1,6,0,0,0,0,0,0,0,18,2.75,4.80%,13
Chet,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0.00,0.80%,14
Penner,3,4,2,2,2,1,0,0,0,0,0,0,0,0,14,3.50,3.73%,15
Joel,1,4,3,2,4,0,0,0,0,0,0,0,0,0,14,1.00,3.73%,16
Mikey B,2,3,2,2,0,0,0,0,0,0,0,0,0,0,9,2.00,2.40%,17
Yau-Man,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.80%,18
Mary,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0.53%,19
Jonny FP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.00,2.13%,20
