Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Jeremy,2,1,4,2,2,1,1,2,9,3,1,4,3,9,44,3.14,10.05%,1
Spencer,3,5,4,1,3,6,5,1,1,6,4,5,6,6,56,4.00,12.79%,2
Tasha,2,0,4,5,2,0,3,0,1,2,0,3,7,3,32,2.29,7.31%,3
Kelley,7,3,1,1,1,1,3,3,3,1,7,3,4,6,44,3.14,10.05%,4
Keith,2,0,0,0,1,0,1,1,0,2,0,1,3,6,17,1.21,3.88%,5
Kimmi,2,0,0,0,2,0,0,1,1,2,0,2,0,3,13,0.93,2.97%,6
Abi-Maria,6,5,2,3,2,0,0,0,1,1,3,1,4,0,28,2.15,6.39%,7
Joe,2,1,1,0,1,1,5,6,2,4,3,4,0,0,30,2.50,6.85%,8
Stephen,3,1,3,0,1,4,1,6,10,5,8,0,0,0,42,3.82,9.59%,9
Ciera,2,0,1,0,0,2,3,4,2,5,0,0,0,0,19,1.90,4.34%,10
Kelly,3,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0.56,1.14%,11
Andrew,2,2,3,5,0,4,11,4,0,0,0,0,0,0,31,3.88,7.08%,12
Kass,2,1,0,2,0,6,7,0,0,0,0,0,0,0,18,2.57,4.11%,13
Woo,2,1,0,2,3,3,0,0,0,0,0,0,0,0,11,1.83,2.51%,14
Terry,1,3,2,0,1,0,0,0,0,0,0,0,0,0,7,1.17,1.60%,15
Monica,1,0,1,1,3,0,0,0,0,0,0,0,0,0,6,1.20,1.37%,16
Jeff,5,5,3,3,0,0,0,0,0,0,0,0,0,0,16,4.00,3.65%,17
Peih-Gee,2,2,3,0,0,0,0,0,0,0,0,0,0,0,7,2.33,1.60%,18
Shirin,4,5,0,0,0,0,0,0,0,0,0,0,0,0,9,4.50,2.05%,19
Vytas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.68%,20
