Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Sarah,1,1,0,0,2,1,3,1,2,11,7,3,4,9,45,3.21,10.92%,1
Brad,2,0,3,1,1,2,2,3,1,2,3,3,1,7,31,2.21,7.52%,2
Troyzan,1,0,4,0,1,2,0,0,0,1,0,0,1,4,14,1.00,3.40%,3
Tai,1,1,2,2,4,6,2,1,1,0,1,1,2,7,31,2.21,7.52%,4
Aubry,1,1,0,1,1,2,2,1,1,1,2,0,4,3,20,1.43,4.85%,5
Cirie,4,1,1,1,0,0,1,9,4,3,2,2,8,3,39,2.79,9.47%,6
Michaela,4,3,1,0,3,0,0,3,2,0,1,5,2,0,24,1.85,5.83%,7
Andrea,1,0,1,1,0,1,0,1,3,2,3,2,3,0,18,1.38,4.37%,8
Sierra,2,0,1,1,0,0,1,7,1,3,3,4,0,0,23,1.92,5.58%,9
Zeke,1,2,1,0,0,5,1,4,6,2,3,0,0,0,25,2.27,6.07%,10
Debbie,1,3,2,2,5,7,2,3,2,5,0,0,0,0,32,3.20,7.77%,11
Ozzy,1,0,2,1,0,1,1,0,2,0,0,0,0,0,8,0.89,1.94%,12
Hali,1,0,2,2,1,0,0,3,0,0,0,0,0,0,9,1.13,2.18%,13
Jeff,2,2,3,1,2,4,7,0,0,0,0,0,0,0,21,3.00,5.10%,14
Sandra,3,6,2,2,3,5,0,0,0,0,0,0,0,0,21,3.50,5.10%,15
J.T.,0,1,8,2,8,0,0,0,0,0,0,0,0,0,19,3.80,4.61%,16
Malcolm,3,2,4,1,0,0,0,0,0,0,0,0,0,0,10,2.50,2.43%,17
Caleb,1,4,2,0,0,0,0,0,0,0,0,0,0,0,7,2.33,1.70%,18
Tony,4,8,0,0,0,0,0,0,0,0,0,0,0,0,12,6.00,2.91%,19
Ciera,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.73%,20
