Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Ep. 15,Total,Average,Percentage,Place
Aras,1,0,2,3,6,3,4,4,3,2,2,3,6,11,50,3.57,12.41%,1
Danielle,3,1,0,3,1,3,0,4,3,2,4,3,5,10,42,3.00,10.42%,2
Terry,1,2,4,4,1,4,7,5,3,5,7,7,3,4,57,4.07,14.14%,3
Cirie,5,3,1,4,5,5,1,3,6,8,8,9,7,0,65,5.00,16.13%,4
Shane,2,6,2,1,2,4,6,0,0,7,1,6,0,0,37,3.08,9.18%,5
Courtney,3,3,2,0,2,0,3,2,1,3,4,0,0,0,23,2.09,5.71%,6
Bruce,0,2,4,1,2,0,6,2,1,3,0,0,0,0,21,2.10,5.21%,7
Sally,2,2,5,5,1,2,2,7,3,0,0,0,0,0,29,3.22,7.20%,8
Austin,2,1,4,6,3,4,7,5,0,0,0,0,0,0,32,4.00,7.94%,9
Nick,1,1,2,2,1,1,6,0,0,0,0,0,0,0,14,2.00,3.47%,10
Dan,1,1,1,4,1,3,0,0,0,0,0,0,0,0,11,1.83,2.73%,11
Bobby,1,0,2,1,1,0,0,0,0,0,0,0,0,0,5,1.00,1.24%,12
Ruth-Marie,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,1.00,0.99%,13
Misty,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1.67,1.24%,14
Melinda,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2.50,1.24%,15
Tina,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.74%,16
