Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Rob,1,12,8,8,5,3,8,5,8,3,4,6,12,14,97,6.93,22.88%,1
Phillip,4,1,0,5,4,3,5,2,1,4,4,3,0,5,41,2.93,9.67%,2
Natalie,1,1,0,2,0,0,0,0,0,0,0,3,2,5,14,1.00,3.30%,3
Ashley,1,0,0,1,3,3,0,0,0,1,1,5,4,4,23,1.64,5.42%,4
Andrea,1,2,2,0,2,1,0,3,0,1,5,2,0,5,24,1.71,5.66%,5
Mike,3,1,1,2,2,1,3,5,3,0,1,4,0,1,27,1.93,6.37%,6
Matt,2,2,1,2,0,3,1,9,1,4,2,2,1,2,32,2.29,7.55%,7
Grant,0,1,0,2,1,0,1,1,1,0,2,1,4,1,15,1.07,3.54%,8
Ralph,2,3,2,3,0,1,2,0,2,0,2,2,1,0,20,1.54,4.72%,9
Steve,0,0,4,0,2,5,2,2,0,4,3,1,0,0,23,1.92,5.42%,10
Julie,0,0,3,2,4,1,0,2,2,3,0,0,0,0,17,1.55,4.01%,11
David,1,0,3,2,1,2,2,0,5,2,0,0,0,0,18,1.80,4.25%,12
Sarita,0,0,0,1,2,1,5,2,0,0,0,0,0,0,11,1.38,2.59%,13
Stephanie,3,0,2,1,4,5,0,0,0,0,0,0,0,0,15,2.14,3.54%,14
Krista,0,0,0,1,3,2,0,0,0,0,0,0,0,0,6,1.00,1.42%,15
Kristina,8,2,0,3,0,0,0,0,0,0,0,0,0,0,13,2.60,3.07%,16
Russell,3,5,5,3,0,0,0,0,0,0,0,0,0,0,16,4.00,3.77%,17
Francesca,7,4,1,0,0,0,0,0,0,0,0,0,0,0,12,4.00,2.83%,18
