Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Total,Average,Percentage,Place
Todd,4,2,4,3,3,8,5,3,5,4,6,4,9,60,4.62,16.17%,1
Coutney,2,2,1,2,0,2,2,2,4,1,1,1,3,23,1.77,6.20%,2
Amanda,1,2,0,3,1,4,2,4,2,3,0,9,9,40,3.08,10.78%,3
Denise,1,0,0,5,2,2,0,2,3,5,5,4,4,33,2.54,8.89%,4
Peih-Gee,4,1,3,0,5,1,3,2,2,7,8,7,0,43,3.31,11.59%,5
Erik,0,3,0,3,4,0,1,1,5,3,1,0,0,21,1.75,5.66%,6
James,1,0,1,1,4,5,4,6,4,5,0,0,0,31,2.82,8.36%,7
Frosti,2,1,1,2,5,1,1,1,3,0,0,0,0,17,1.70,4.58%,8
Jean-Robert,1,1,1,4,3,2,2,5,0,0,0,0,0,19,2.11,5.12%,9
Jaime,0,6,3,1,3,1,5,0,0,0,0,0,0,19,2.38,5.12%,10
Sherea,1,1,0,4,5,1,0,0,0,0,0,0,0,12,2.00,3.23%,11
Aaron,2,1,1,1,5,0,0,0,0,0,0,0,0,10,2.00,2.70%,12
Dave,2,6,1,7,0,0,0,0,0,0,0,0,0,16,4.00,4.31%,13
Leslie,2,6,8,0,0,0,0,0,0,0,0,0,0,16,5.33,4.31%,14
Ashley,3,3,0,0,0,0,0,0,0,0,0,0,0,6,3.00,1.62%,15
Chicken,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5.00,1.35%,16
