Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Jenna,9,3,0,2,8,3,1,3,4,3,4,4,17,61,4.69,12.55%,1
Matthew,1,1,1,3,1,4,1,2,2,9,8,5,15,53,4.08,10.91%,2
Rob,12,3,7,1,4,8,12,9,13,6,10,9,10,104,8.00,21.40%,3
Butch,1,0,1,2,1,0,1,1,3,1,0,3,2,16,1.23,3.29%,4
Heidi,7,2,3,5,4,3,1,1,3,3,4,4,0,40,3.33,8.23%,5
Christy,5,4,2,1,2,2,2,2,0,5,3,0,0,28,2.55,5.76%,6
Alex,4,5,3,1,1,3,3,2,2,5,0,0,0,29,2.90,5.97%,7
Deena,6,5,2,4,5,5,8,1,6,0,0,0,0,42,4.67,8.64%,8
Dave,4,3,3,4,8,2,5,4,0,0,0,0,0,33,4.13,6.79%,9
Roger,5,1,1,1,2,0,4,0,0,0,0,0,0,14,2.00,2.88%,10
Shawna,3,2,3,5,2,5,0,0,0,0,0,0,0,20,3.33,4.12%,11
Jeanne,5,6,4,2,7,0,0,0,0,0,0,0,0,24,4.80,4.94%,12
Joanna,1,2,1,0,0,0,0,0,0,0,0,0,0,4,1.00,0.82%,13
Daniel,2,0,4,0,0,0,0,0,0,0,0,0,0,6,2.00,1.23%,14
Janet,4,4,0,0,0,0,0,0,0,0,0,0,0,8,4.00,1.65%,15
Ryan,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0.82%,16
