Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Vecepia,2,4,4,3,1,0,0,2,1,1,2,3,13,36,2.77,7.53%,1
Neleh,2,2,3,2,3,2,0,2,4,6,1,3,8,38,2.92,7.95%,2
Kathy,3,4,4,8,4,7,13,15,0,6,7,7,6,84,6.46,17.57%,3
Paschal,2,1,2,4,1,2,1,6,8,7,3,5,4,46,3.54,9.62%,4
Sean,6,4,2,2,4,2,1,7,13,9,1,6,0,57,4.75,11.92%,5
Robert,3,1,3,0,4,2,1,2,4,4,4,0,0,28,2.55,5.86%,6
Tammy,3,2,4,3,1,2,1,1,9,5,0,0,0,31,3.10,6.49%,7
Zoe,1,0,1,0,0,0,0,1,3,0,0,0,0,6,0.67,1.26%,8
John,5,6,5,0,7,6,0,4,0,0,0,0,0,33,4.13,6.90%,9
Rob,7,6,5,3,2,8,9,0,0,0,0,0,0,40,5.71,8.37%,10
Gina,6,4,3,11,7,6,0,0,0,0,0,0,0,37,6.17,7.74%,11
Gabriel,2,3,3,1,3,0,0,0,0,0,0,0,0,12,2.40,2.51%,12
Sarah,2,2,0,3,0,0,0,0,0,0,0,0,0,7,1.75,1.46%,13
Hunter,2,5,6,0,0,0,0,0,0,0,0,0,0,13,4.33,2.72%,14
Patricia,3,2,0,0,0,0,0,0,0,0,0,0,0,5,2.50,1.05%,15
Peter,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5.00,1.05%,16
