Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Natalie,2,1,2,2,0,3,0,1,1,6,5,10,4,9,46,3.29,10.34%,1
Jaclyn,1,0,0,1,3,0,2,3,0,1,8,3,2,7,31,2.21,6.97%,2
Missy,3,1,1,0,1,3,4,3,2,1,3,1,3,5,31,2.21,6.97%,3
Keith,7,0,5,3,2,2,6,1,4,2,1,2,4,8,47,3.36,10.56%,4
Baylor,4,1,4,2,3,0,1,3,2,1,2,5,6,2,36,2.57,8.09%,5
Jon,2,2,0,2,5,3,5,7,5,2,9,8,6,0,56,4.31,12.58%,6
Alec,2,0,2,4,2,1,0,1,0,1,2,2,0,0,17,1.42,3.82%,7
Reed,2,0,0,0,2,1,1,1,3,7,5,0,0,0,22,2.00,4.94%,8
Wes,3,0,1,0,1,0,2,1,1,0,0,0,0,0,9,0.90,2.02%,9
Jeremy,5,3,3,6,5,5,10,3,6,0,0,0,0,0,46,5.11,10.34%,10
Josh,6,3,8,0,3,1,11,4,0,0,0,0,0,0,36,4.50,8.09%,11
Julie,2,0,2,1,1,2,6,0,0,0,0,0,0,0,14,2.00,3.15%,12
Dale,6,1,0,1,2,3,0,0,0,0,0,0,0,0,13,2.17,2.92%,13
Kelley,1,1,0,2,2,0,0,0,0,0,0,0,0,0,6,1.20,1.35%,14
Drew,3,0,1,9,0,0,0,0,0,0,0,0,0,0,13,3.25,2.92%,15
John,3,3,5,0,0,0,0,0,0,0,0,0,0,0,11,3.67,2.47%,16
Val,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3.50,1.57%,17
Nadiya,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0.90%,18
