Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Adam,5,1,2,4,2,2,1,10,2,2,2,5,7,8,53,3.79,12.18%,1
Hannah,3,0,2,0,0,1,3,2,3,2,3,2,3,5,29,2.07,6.67%,2
Ken,1,2,2,2,3,2,0,0,0,0,1,4,3,7,27,1.93,6.21%,3
David,6,5,6,4,6,1,2,3,2,4,4,3,2,8,56,4.00,12.87%,4
Bret,4,0,0,1,2,0,2,3,1,1,3,0,2,6,25,1.79,5.75%,5
Jay,2,3,1,1,2,2,5,3,10,3,2,3,5,7,49,3.50,11.26%,6
Sunday,2,1,1,0,0,0,1,0,3,1,1,0,0,0,10,0.77,2.30%,7
Will,2,0,1,0,0,0,1,2,1,2,0,7,3,0,19,1.46,4.37%,8
Zeke,5,2,1,1,4,3,2,5,1,4,10,2,0,0,40,3.33,9.20%,9
Jessica,5,0,3,2,1,1,2,0,0,3,2,0,0,0,19,1.73,4.37%,10
Chris,5,1,2,3,3,0,1,2,2,3,0,0,0,0,22,2.20,5.06%,11
Taylor,3,2,2,0,3,2,3,4,4,0,0,0,0,0,23,2.56,5.29%,12
Michelle,1,2,0,0,4,0,1,2,0,0,0,0,0,0,10,1.25,2.30%,13
Michaela,1,4,2,1,3,1,3,0,0,0,0,0,0,0,15,2.14,3.45%,14
Figgy,2,4,2,0,1,3,0,0,0,0,0,0,0,0,12,2.00,2.76%,15
CeCe,2,0,2,0,2,0,0,0,0,0,0,0,0,0,6,1.20,1.38%,16
Lucy,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0.75,0.69%,17
Paul,2,2,4,0,0,0,0,0,0,0,0,0,0,0,8,2.67,1.84%,18
Mari,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3.00,1.38%,19
Rachel,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.69%,20
