Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Sandra,9,3,2,2,2,4,3,3,1,1,5,5,6,9,55,3.93,10.98%,1
Lillian,6,1,4,0,0,0,0,8,5,3,2,13,3,10,55,3.93,10.98%,2
Jon,8,0,3,3,2,3,3,1,2,4,5,9,6,5,54,3.86,10.78%,3
Darrah,1,1,1,1,2,1,0,0,0,1,0,2,1,2,13,0.93,2.59%,4
Burton,4,1,1,6,0,0,0,8,6,4,3,6,14,0,53,4.08,10.58%,5
Christa,7,1,4,6,0,0,0,1,3,0,4,6,0,0,32,2.67,6.39%,6
Tijuana,6,4,2,1,2,0,2,4,3,0,5,0,0,0,29,2.64,5.79%,7
Rupert,11,6,2,3,9,6,4,7,2,11,0,0,0,0,61,6.10,12.18%,8
Ryan O.,3,0,5,2,4,1,0,0,3,0,0,0,0,0,18,2.00,3.59%,9
Andrew,7,5,14,3,5,5,6,6,0,0,0,0,0,0,51,6.38,10.18%,10
Osten,9,3,2,1,1,1,1,0,0,0,0,0,0,0,18,2.57,3.59%,11
Shawn,7,2,2,3,2,3,1,0,0,0,0,0,0,0,20,2.86,3.99%,12
Trish,2,0,1,2,4,4,0,0,0,0,0,0,0,0,13,2.17,2.59%,13
Michelle,4,1,1,1,3,0,0,0,0,0,0,0,0,0,10,2.00,2.00%,14
Ryan S.,8,4,0,0,0,0,0,0,0,0,0,0,0,0,12,6.00,2.40%,15
Nicole,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7.00,1.40%,16
