Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Ep. 15,Total,Average,Percentage,Place
Tina,0,5,6,6,2,2,7,3,2,7,6,5,3,15,69,4.93,12.30%,1
Colby,3,2,9,5,3,7,7,4,5,4,9,10,13,17,98,7.00,17.47%,2
Keith,4,4,10,4,4,2,6,3,3,6,5,6,5,8,70,5.00,12.48%,3
Elisabeth,3,0,4,0,3,2,3,11,1,9,8,4,9,0,57,4.38,10.16%,4
Rodger,3,3,3,2,3,2,4,3,0,2,5,4,0,0,34,2.83,6.06%,5
Amber,1,1,3,2,3,1,1,1,2,3,5,0,0,0,23,2.09,4.10%,6
Nick,1,0,1,1,1,2,3,1,4,3,0,0,0,0,17,1.70,3.03%,7
Jerri,4,9,8,6,5,6,7,4,11,0,0,0,0,0,60,6.67,10.70%,8
Alicia,1,3,4,1,3,4,4,3,0,0,0,0,0,0,23,2.88,4.10%,9
Jeff,5,4,8,1,4,4,9,0,0,0,0,0,0,0,35,5.00,6.24%,10
Michael,3,4,3,4,6,1,0,0,0,0,0,0,0,0,21,3.50,3.74%,11
Kimmi,6,3,3,1,3,0,0,0,0,0,0,0,0,0,16,3.20,2.85%,12
Mitchell,2,5,8,3,0,0,0,0,0,0,0,0,0,0,18,4.50,3.21%,13
Maralyn,2,7,3,0,0,0,0,0,0,0,0,0,0,0,12,4.00,2.14%,14
Kel,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2.00,0.71%,15
Debb,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0.71%,16
