Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Tyson,1,1,3,4,1,5,2,3,6,4,5,3,2,8,48,3.43,11.09%,1
Monica,5,2,0,2,2,4,1,2,3,0,0,0,4,9,34,2.43,7.85%,2
Gervase,4,0,0,2,0,3,0,1,2,0,3,4,2,4,25,1.79,5.77%,3
Tina,2,1,0,0,3,3,2,0,3,0,1,0,3,7,25,1.79,5.77%,4
Ciera,2,2,1,2,4,0,1,5,0,11,3,2,5,8,46,3.29,10.62%,5
Laura M.,4,0,0,1,3,0,0,3,2,5,1,0,0,1,20,1.43,4.62%,6
Hayden,2,1,2,1,1,1,3,1,1,2,5,7,5,3,35,2.50,8.08%,7
Katie,3,1,0,0,1,0,2,0,3,6,3,1,1,0,21,1.62,4.85%,8
Caleb,4,0,0,5,2,1,0,0,1,1,2,0,0,0,16,1.33,3.70%,9
Vytas,8,2,3,0,3,5,4,5,5,0,0,0,0,0,35,3.18,8.08%,10
Aras,2,2,2,1,4,3,1,4,1,0,0,0,0,0,20,2.00,4.62%,11
Laura B.,3,1,0,0,3,3,5,2,0,0,0,0,0,0,17,2.13,3.93%,12
John,4,7,5,2,1,0,0,1,0,0,0,0,0,0,20,2.50,4.62%,13
Kat,2,1,0,0,1,4,3,0,0,0,0,0,0,0,11,1.57,2.54%,14
Brad,11,2,3,3,1,0,0,0,0,0,0,0,0,0,20,3.33,4.62%,15
Candice,3,0,0,3,2,0,0,0,0,0,0,0,0,0,8,1.60,1.85%,16
Marissa,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1.25,1.15%,17
Rachel,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1.67,1.15%,18
Colton,5,8,2,0,0,0,0,0,0,0,0,0,0,0,15,5.00,3.46%,19
Rupert,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3.50,1.62%,20
