Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Yul,3,4,2,0,1,5,3,1,2,5,2,2,8,7,45,3.21,12.10%,1
Ozzy,3,7,1,2,2,2,3,2,4,2,0,5,4,9,46,3.29,12.37%,2
Becky,0,2,0,1,0,0,1,0,1,0,1,2,2,5,15,1.07,4.03%,3
Sundra,3,1,0,0,2,2,1,2,1,3,1,6,3,4,29,2.07,7.80%,4
Adam,2,0,0,0,3,2,2,2,1,4,1,2,5,3,27,1.85,7.26%,5
Parvati,2,0,2,4,2,0,0,0,0,1,4,4,6,0,25,1.58,6.72%,6
Jonathan,5,3,5,1,2,4,1,4,4,13,4,3,0,0,49,4.18,13.17%,7
Candice,2,0,0,1,1,0,2,3,4,0,2,0,0,0,15,1.30,4.03%,8
Nate,1,3,3,2,2,3,5,5,1,4,0,0,0,0,29,2.78,7.80%,9
Jenny,1,2,0,1,4,0,0,0,3,0,0,0,0,0,11,1.00,2.96%,10
Rebecca,3,1,0,1,0,1,0,0,0,0,0,0,0,0,6,1.00,1.61%,11
Brad,1,0,3,0,0,1,2,0,0,0,0,0,0,0,7,0.80,1.88%,12
Jessica,2,1,3,1,0,1,3,0,0,0,0,0,0,0,11,1.75,2.96%,13
Cristina,0,6,0,0,0,3,0,0,0,0,0,0,0,0,9,2.00,2.42%,14
Cao Boi,5,2,2,2,1,4,0,0,0,0,0,0,0,0,16,3.50,4.30%,15
Stephanie,6,1,1,3,2,0,0,0,0,0,0,0,0,0,13,6.00,3.49%,16
JP,2,2,1,2,0,0,0,0,0,0,0,0,0,0,7,2.00,1.88%,17
Ceclilia,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1.00,0.81%,18
Billy,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2.00,1.61%,19
Sekou,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.81%,20
