Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Total,Average,Percentage,Place
Richard,4,4,10,8,4,6,8,8,8,8,5,8,11,92,7.08,14.00%,1
Kelly,2,1,7,3,9,2,5,8,5,8,12,8,15,85,6.54,12.94%,2
Rudy,4,3,2,1,4,4,7,5,3,4,2,4,8,51,3.92,7.76%,3
Susan,2,2,5,4,4,3,5,8,6,8,10,8,6,71,5.46,10.81%,4
Sean,1,5,3,5,11,2,5,3,5,4,6,7,0,57,4.75,8.68%,5
Colleen,0,3,5,5,3,10,5,3,9,3,8,0,0,54,4.91,8.22%,6
Gervase,0,6,5,8,4,9,4,8,4,8,0,0,0,56,5.6,8.52%,7
Jenna,0,2,4,5,5,6,10,10,5,0,0,0,0,47,5.22,7.15%,8
Greg,0,4,4,6,4,1,7,9,0,0,0,0,0,35,4.38,5.33%,9
Gretchen,1,6,3,6,4,10,5,0,0,0,0,0,0,35,5.00,5.33%,10
Joel,2,2,2,2,2,12,0,0,0,0,0,0,0,22,3.67,3.35%,11
Dirk,1,0,3,3,4,0,0,0,0,0,0,0,0,11,2.20,1.67%,12
Ramona,2,9,0,8,0,0,0,0,0,0,0,0,0,19,4.75,2.89%,13
Stacey,1,2,6,0,0,0,0,0,0,0,0,0,0,9,3.00,1.37%,14
B.B.,3,8,0,0,0,0,0,0,0,0,0,0,0,11,5.50,1.67%,15
Sonja,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.30%,16
