Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Ethan,4,2,2,5,5,6,0,9,4,8,3,10,10,68,5.23,13.60%,1
Kim J.,1,2,1,1,2,3,3,1,2,5,2,6,9,38,2.92,7.60%,2
Lex,1,3,1,3,3,4,4,13,5,8,9,16,11,81,6.23,16.20%,3
Tom,3,2,4,2,5,1,4,3,8,3,12,4,4,55,4.23,11.00%,4
Teresa,1,2,1,1,2,1,1,6,0,4,2,9,0,30,2.50,6.00%,5
Kim P.,3,2,5,3,1,2,2,2,4,11,0,0,0,35,3.18,7.00%,6
Frank,3,4,3,7,3,4,7,1,5,3,0,0,0,40,4.00,8.00%,7
Brandon,2,2,3,2,3,4,6,2,4,0,0,0,0,28,3.11,5.60%,8
Kelly,0,4,0,1,4,3,6,5,0,0,0,0,0,23,2.88,4.60%,9
Clarence,1,7,2,6,1,6,3,0,0,0,0,0,0,26,3.71,5.20%,10
Lindsey,3,6,5,5,4,11,0,0,0,0,0,0,0,34,5.67,6.80%,11
Silas,0,3,3,7,6,0,0,0,0,0,0,0,0,19,3.80,3.80%,12
Linda,1,0,1,7,0,0,0,0,0,0,0,0,0,9,2.25,1.80%,13
Carl,0,4,5,0,0,0,0,0,0,0,0,0,0,9,3.00,1.80%,14
Jessie,1,3,0,0,0,0,0,0,0,0,0,0,0,4,2.00,0.80%,15
Diane,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0.20%,16
