Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Tony,3,7,5,1,3,6,7,6,10,9,13,6,8,13,97,6.93,21.13%,1
Woo,1,0,1,2,1,1,0,6,2,3,1,3,4,11,36,2.57,7.84%,2
Kass,3,2,1,3,1,1,9,6,1,1,3,12,8,11,62,4.43,13.51%,3
Spencer,5,1,2,2,5,4,4,9,4,6,7,6,5,7,67,4.79,14.60%,4
Trish,3,1,1,0,3,2,1,0,4,3,1,0,3,0,22,1.69,4.79%,5
Tasha,3,3,3,1,2,3,1,1,3,2,3,3,0,0,28,2.33,6.10%,6
Jefra,3,0,3,0,2,2,1,0,1,3,1,0,0,0,16,1.45,3.49%,7
Jeremiah,1,0,3,3,0,2,1,0,1,1,0,0,0,0,12,1.20,2.61%,8
LJ,3,0,5,3,5,1,1,0,5,0,0,0,0,0,23,2.56,5.01%,9
Morgan,7,1,1,2,1,0,0,3,0,0,0,0,0,0,15,1.88,3.27%,10
Sarah,4,2,4,4,2,1,9,0,0,0,0,0,0,0,26,3.71,5.66%,11
Alexis,3,0,2,2,1,4,0,0,0,0,0,0,0,0,12,2.00,2.61%,12
Lindsey,3,1,0,0,1,1,0,0,0,0,0,0,0,0,6,1.00,1.31%,13
Cliff,2,3,0,1,3,0,0,0,0,0,0,0,0,0,9,1.80,1.96%,14
J'Tia,2,2,1,2,0,0,0,0,0,0,0,0,0,0,7,1.75,1.53%,15
Brice,1,3,2,0,0,0,0,0,0,0,0,0,0,0,6,2.00,1.31%,16
Garrett,6,5,0,0,0,0,0,0,0,0,0,0,0,0,11,5.50,2.40%,17
David,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0.87%,18
