Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Danni,1,1,1,1,2,0,3,4,1,4,1,7,3,11,40,2.86,9.07%,1
Stephenie,9,5,4,2,4,0,4,4,6,4,3,4,5,9,63,4.50,14.29%,2
Rafe,2,3,2,3,0,4,1,5,2,4,8,3,7,8,52,3.71,11.79%,3
Lydia,1,3,2,0,1,0,0,1,0,1,5,0,2,5,21,1.50,4.76%,4
Cindy,4,0,3,1,1,4,1,3,0,3,5,1,10,0,36,2.77,8.16%,5
Judd,2,2,3,4,3,3,2,1,3,8,4,5,0,0,40,3.33,9.07%,6
Gary,2,6,2,2,2,1,2,1,7,8,5,0,0,0,38,3.45,8.62%,7
Jamie,1,1,2,1,1,1,3,3,1,2,0,0,0,0,16,1.60,3.63%,8
Bobby Jon,5,1,3,0,1,1,7,5,4,0,0,0,0,0,27,3.00,6.12%,9
Brandon,4,2,5,1,4,2,4,6,0,0,0,0,0,0,28,3.50,6.35%,10
Amy,1,0,4,4,4,2,7,0,0,0,0,0,0,0,22,3.14,4.99%,11
Brian,3,1,2,3,6,3,0,0,0,0,0,0,0,0,18,3.00,4.08%,12
Margaret,8,2,2,4,1,4,0,0,0,0,0,0,0,0,21,3.50,4.76%,13
Blake,1,2,0,1,1,0,0,0,0,0,0,0,0,0,5,1.00,1.13%,14
Brooke,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1.00,0.91%,15
Brianna,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6,2.00,1.36%,16
Morgan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.00,0.45%,17
Jim,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.45%,18
