Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Ben,2,2,2,2,1,2,7,8,5,6,5,4,12,12,70,5.00,16.24%,1
Chrissy,3,3,0,2,5,2,5,3,3,2,4,5,4,10,51,3.64,11.83%,2
Ryan,6,4,5,1,3,5,4,5,3,3,3,2,2,3,49,3.50,11.37%,3
Devon,1,1,1,3,1,1,4,2,1,4,9,2,4,7,41,2.93,9.51%,4
Mike,3,0,0,1,2,2,5,1,4,4,3,4,2,2,33,2.36,7.66%,5
Ashley,3,1,1,4,3,1,1,0,4,2,3,2,2,0,27,2.08,6.26%,6
Lauren,1,2,6,2,1,1,2,3,2,6,4,4,0,0,34,2.83,7.89%,7
Joe,2,3,1,3,1,3,3,5,3,1,3,0,0,0,28,2.55,6.50%,8
JP,1,1,0,0,0,2,0,1,0,0,0,0,0,0,5,0.50,1.16%,9
Cole,0,3,3,3,0,1,5,4,2,0,0,0,0,0,21,2.33,4.87%,10
Desi,1,0,1,3,1,1,0,1,0,0,0,0,0,0,8,1.00,1.86%,11
Jessica,1,0,5,7,1,1,3,0,0,0,0,0,0,0,18,2.57,4.18%,12
Ali,2,4,3,1,3,3,0,0,0,0,0,0,0,0,16,2.67,3.71%,13
Roark,1,0,1,1,4,0,0,0,0,0,0,0,0,0,7,1.40,1.62%,14
Alan,5,1,2,2,0,0,0,0,0,0,0,0,0,0,10,2.50,2.32%,15
Patrick,1,2,4,0,0,0,0,0,0,0,0,0,0,0,7,2.33,1.62%,16
Simone,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2.00,0.93%,17
Katrina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.46%,18
