Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Natalie,0,0,0,2,2,0,0,2,2,1,0,0,3,3,15,1.07,3.87%,1
Russell H,9,8,10,2,4,4,7,13,8,11,4,7,8,13,108,7.71,27.84%,2
Mick,2,3,3,4,2,2,1,1,1,1,1,3,1,4,29,2.07,7.47%,3
Brett,1,0,0,0,1,1,0,0,0,0,0,1,3,5,12,0.86,3.09%,4
Jaison,2,3,2,2,3,2,1,3,2,0,3,4,4,2,33,2.38,8.51%,5
Shambo,6,0,5,3,4,0,0,4,3,3,5,3,3,0,39,3.00,10.05%,6
Monica,1,1,1,1,1,1,2,1,1,1,1,3,0,0,15,1.09,3.87%,7
Dave Ball,1,0,1,5,3,1,2,1,0,0,0,2,0,0,16,1.40,4.12%,8
John,1,0,1,0,0,3,0,3,3,6,4,0,0,0,21,1.22,5.41%,9
Laura,0,1,1,0,0,2,2,4,3,3,0,0,0,0,16,1.25,4.12%,10
Kelly,0,0,0,2,1,1,1,0,3,0,0,0,0,0,8,0.67,2.06%,11
Erik,1,0,1,5,1,2,4,4,0,0,0,0,0,0,18,1.60,4.64%,12
Liz,1,3,0,0,2,2,2,0,0,0,0,0,0,0,10,1.00,2.58%,13
Russell S,3,0,1,9,0,4,0,0,0,0,0,0,0,0,17,1.33,4.38%,14
Ashley,2,3,2,0,3,0,0,0,0,0,0,0,0,0,10,2.50,2.58%,15
Yasmin,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0.00,0.77%,16
Ben,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,1.00,1.29%,17
Betsy,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2.00,1.29%,18
Mike,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2.00,1.29%,19
Marisa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.77%,20
