Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Denise,3,3,2,4,4,2,2,1,1,2,2,1,5,5,37,2.64,8.51%,1
Lisa,4,3,2,2,2,1,5,4,8,3,5,7,6,6,58,4.14,13.33%,2
Michael,8,0,0,0,0,0,4,2,2,7,1,1,5,10,40,2.86,9.20%,3
Malcolm,5,4,4,7,6,0,4,5,1,6,4,6,9,5,66,4.71,15.17%,4
Abi-Maria,1,2,3,2,0,1,0,0,2,3,7,3,6,0,30,2.31,6.90%,5
Carter,0,0,0,1,0,4,0,0,1,0,0,2,0,0,8,0.67,1.84%,6
Jonathan,3,5,1,2,7,5,5,5,10,2,4,0,0,0,49,4.45,11.26%,7
Pete,2,0,3,3,1,1,1,6,1,3,0,0,0,0,21,2.10,4.83%,8
Artis,0,0,1,0,0,3,1,1,2,0,0,0,0,0,8,0.89,1.84%,9
Jeff,4,2,5,2,2,5,4,4,0,0,0,0,0,0,28,3.50,6.44%,10
RC,6,4,2,3,1,2,3,0,0,0,0,0,0,0,21,3.00,4.83%,11
Katie,1,0,0,0,3,7,0,0,0,0,0,0,0,0,11,1.83,2.53%,12
Dawson,2,0,0,1,3,0,0,0,0,0,0,0,0,0,6,1.20,1.38%,13
Dana,2,0,1,1,2,0,0,0,0,0,0,0,0,0,6,1.20,1.38%,14
Russell,7,4,5,5,0,0,0,0,0,0,0,0,0,0,21,5.25,4.83%,15
Angie,3,1,5,0,0,0,0,0,0,0,0,0,0,0,9,3.00,2.07%,16
Roxy,1,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3.50,1.61%,17
Zane,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.00,2.07%,18
