Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Total,Average,Percentage,Place
JT,2,2,3,2,1,8,10,6,4,4,9,6,14,71,5.46,17.57%,1
Stephen,2,3,3,2,3,3,6,2,1,9,7,7,13,61,4.69,15.10%,2
Erinn,2,0,2,2,1,2,3,1,5,1,3,3,5,30,2.31,7.43%,3
Taj,1,2,2,4,7,5,4,1,0,1,2,2,1,32,2.46,7.92%,4
Coach,5,3,7,3,1,4,9,4,4,6,4,8,0,58,4.46,14.36%,5
Debbie,0,0,0,1,0,2,0,1,2,4,4,0,0,14,1.17,3.47%,6
Sierra,4,5,2,1,1,2,0,1,4,3,0,0,0,23,2.09,5.69%,7
Tyson,2,2,3,3,1,0,5,3,3,0,0,0,0,22,2.20,5.45%,8
Brendan,1,8,3,2,3,6,3,8,0,0,0,0,0,34,3.78,8.42%,9
Joe,1,1,2,2,0,7,2,0,0,0,0,0,0,15,1.88,3.71%,10
Sydney,1,1,0,0,2,3,0,0,0,0,0,0,0,7,1.17,1.73%,11
Spencer,2,4,0,2,5,0,0,0,0,0,0,0,0,13,2.60,3.22%,12
Sandy,6,2,0,3,0,0,0,0,0,0,0,0,0,11,2.75,2.72%,13
Jerry,1,0,3,0,0,0,0,0,0,0,0,0,0,4,1.33,0.99%,14
Candace,0,5,0,0,0,0,0,0,0,0,0,0,0,5,2.50,1.24%,15
Carolina,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0.99%,16
