,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,1,1,1,1,2,0,3,4,1,4,1,7,3,11
2,9,5,4,2,4,0,4,4,6,4,3,4,5,9
3,2,3,2,3,0,4,1,5,2,4,8,3,7,8
4,1,3,2,0,1,0,0,1,0,1,5,0,2,5
5,4,0,3,1,1,4,1,3,0,3,5,1,10,0
6,2,2,3,4,3,3,2,1,3,8,4,5,0,0
7,2,6,2,2,2,1,2,1,7,8,5,0,0,0
8,1,1,2,1,1,1,3,3,1,2,0,0,0,0
9,5,1,3,0,1,1,7,5,4,0,0,0,0,0
10,4,2,5,1,4,2,4,6,0,0,0,0,0,0
11,1,0,4,4,4,2,7,0,0,0,0,0,0,0
12,3,1,2,3,6,3,0,0,0,0,0,0,0,0
13,8,2,2,4,1,4,0,0,0,0,0,0,0,0
14,1,2,0,1,1,0,0,0,0,0,0,0,0,0
15,2,0,1,1,0,0,0,0,0,0,0,0,0,0
16,1,1,4,0,0,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
