,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,,,,
1,0,0,0,2,2,0,0,2,2,1,0,0,3,3,,,,
2,9,8,10,2,4,4,7,13,8,11,4,7,8,13,,,,
3,2,3,3,4,2,2,1,1,1,1,1,3,1,4,,,,
4,1,0,0,0,1,1,0,0,0,0,0,1,3,5,,,,
5,2,3,2,2,3,2,1,3,2,0,3,4,4,2,,,,
6,6,0,5,3,4,0,0,4,3,3,5,3,3,0,,,,
7,1,1,1,1,1,1,2,1,1,1,1,3,0,0,,,,
8,1,0,1,5,3,1,2,1,0,0,0,2,0,0,,,,
9,1,0,1,0,0,3,0,3,3,6,4,0,0,0,,,,
10,0,1,1,0,0,2,2,4,3,3,0,0,0,0,,,,
11,0,0,0,2,1,1,1,0,3,0,0,0,0,0,,,,
12,1,0,1,5,1,2,4,4,0,0,0,0,0,0,,,,
13,1,3,0,0,2,2,2,0,0,0,0,0,0,0,,,,
14,3,0,1,9,0,4,0,0,0,0,0,0,0,0,,,,
15,2,3,2,0,3,0,0,0,0,0,0,0,0,0,,,,
16,0,2,0,1,0,0,0,0,0,0,0,0,0,0,,,,
17,1,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,
18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
