,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,5,1,2,4,2,2,1,10,2,2,2,5,7,8
2,3,0,2,0,0,1,3,2,3,2,3,2,3,5
3,1,2,2,2,3,2,0,0,0,0,1,4,3,7
4,6,5,6,4,6,1,2,3,2,4,4,3,2,8
5,4,0,0,1,2,0,2,3,1,1,3,0,2,6
6,2,3,1,1,2,2,5,3,10,3,2,3,5,7
7,2,1,1,0,0,0,1,0,3,1,1,0,0,0
8,2,0,1,0,0,0,1,2,1,2,0,7,3,0
9,5,2,1,1,4,3,2,5,1,4,10,2,0,0
10,5,0,3,2,1,1,2,0,0,3,2,0,0,0
11,5,1,2,3,3,0,1,2,2,3,0,0,0,0
12,3,2,2,0,3,2,3,4,4,0,0,0,0,0
13,1,2,0,0,4,0,1,2,0,0,0,0,0,0
14,1,4,2,1,3,1,3,0,0,0,0,0,0,0
15,2,4,2,0,1,3,0,0,0,0,0,0,0,0
16,2,0,2,0,2,0,0,0,0,0,0,0,0,0
17,0,0,0,3,0,0,0,0,0,0,0,0,0,0
18,2,2,4,0,0,0,0,0,0,0,0,0,0,0
19,4,2,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0
