,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,1,1,3,4,1,5,2,3,6,4,5,3,2,8
2,5,2,0,2,2,4,1,2,3,0,0,0,4,9
3,4,0,0,2,0,3,0,1,2,0,3,4,2,4
4,2,1,0,0,3,3,2,0,3,0,1,0,3,7
5,2,2,1,2,4,0,1,5,0,11,3,2,5,8
6,4,0,0,1,3,0,0,3,2,5,1,0,0,1
7,2,1,2,1,1,1,3,1,1,2,5,7,5,3
8,3,1,0,0,1,0,2,0,3,6,3,1,1,0
9,4,0,0,5,2,1,0,0,1,1,2,0,0,0
10,8,2,3,0,3,5,4,5,5,0,0,0,0,0
11,2,2,2,1,4,3,1,4,1,0,0,0,0,0
12,3,1,0,0,3,3,5,2,0,0,0,0,0,0
13,4,7,5,2,1,0,0,1,0,0,0,0,0,0
14,2,1,0,0,1,4,3,0,0,0,0,0,0,0
15,11,2,3,3,1,0,0,0,0,0,0,0,0,0
16,3,0,0,3,2,0,0,0,0,0,0,0,0,0
17,4,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2,3,0,0,0,0,0,0,0,0,0,0,0,0
19,5,8,2,0,0,0,0,0,0,0,0,0,0,0
20,6,1,0,0,0,0,0,0,0,0,0,0,0,0
