,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,,,,
1,2,2,3,2,1,8,10,6,4,4,9,6,14,,,,
2,2,3,3,2,3,3,6,2,1,9,7,7,13,,,,
3,2,0,2,2,1,2,3,1,5,1,3,3,5,,,,
4,1,2,2,4,7,5,4,1,0,1,2,2,1,,,,
5,5,3,7,3,1,4,9,4,4,6,4,8,0,,,,
6,0,0,0,1,0,2,0,1,2,4,4,0,0,,,,
7,4,5,2,1,1,2,0,1,4,3,0,0,0,,,,
8,2,2,3,3,1,0,5,3,3,0,0,0,0,,,,
9,1,8,3,2,3,6,3,8,0,0,0,0,0,,,,
10,1,1,2,2,0,7,2,0,0,0,0,0,0,,,,
11,1,1,0,0,2,3,0,0,0,0,0,0,0,,,,
12,2,4,0,2,5,0,0,0,0,0,0,0,0,,,,
13,6,2,0,3,0,0,0,0,0,0,0,0,0,,,,
14,1,0,3,0,0,0,0,0,0,0,0,0,0,,,,
15,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,
16,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
