,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 12,Ep. 13,Ep. 14,,,,
1,1,2,5,1,4,3,5,6,4,8,1,4,10,,,,
2,1,7,3,4,5,5,3,4,5,13,1,3,14,,,,
3,3,1,0,3,2,2,3,3,3,1,3,3,8,,,,
4,5,11,3,5,4,4,3,2,1,3,10,8,4,,,,
5,3,0,5,1,5,6,5,4,5,5,2,11,0,,,,
6,5,4,1,0,4,3,0,6,7,6,5,0,0,,,,
7,3,0,1,1,4,5,1,2,2,4,0,0,0,,,,
8,1,2,1,1,0,3,5,5,3,0,0,0,0,,,,
9,1,2,2,1,2,3,4,0,0,0,0,0,0,,,,
10,3,5,4,3,5,2,11,0,0,0,0,0,0,,,,
11,6,1,6,4,2,8,0,0,0,0,0,0,0,,,,
12,1,2,0,3,4,0,0,0,0,0,0,0,0,,,,
13,10,2,6,4,0,0,0,0,0,0,0,0,0,,,,
14,2,4,1,0,0,0,0,0,0,0,0,0,0,,,,
15,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,
16,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,
