,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,,,,
1,3,4,2,0,1,5,3,1,2,5,2,2,8,7,,,,
2,3,7,1,2,2,2,3,2,4,2,0,5,4,9,,,,
3,0,2,0,1,0,0,1,0,1,0,1,2,2,5,,,,
4,3,1,0,0,2,2,1,2,1,3,1,6,3,4,,,,
5,2,0,0,0,3,2,2,2,1,4,1,2,5,3,,,,
6,2,0,2,4,2,0,0,0,0,1,4,4,6,0,,,,
7,5,3,5,1,2,4,1,4,4,13,4,3,0,0,,,,
8,2,0,0,1,1,0,2,3,4,0,2,0,0,0,,,,
9,1,3,3,2,2,3,5,5,1,4,0,0,0,0,,,,
10,1,2,0,1,4,0,0,0,3,0,0,0,0,0,,,,
11,3,1,0,1,0,1,0,0,0,0,0,0,0,0,,,,
12,1,0,3,0,0,1,2,0,0,0,0,0,0,0,,,,
13,2,1,3,1,0,1,3,0,0,0,0,0,0,0,,,,
14,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,,,
15,5,2,2,2,1,4,0,0,0,0,0,0,0,0,,,,
16,6,1,1,3,2,0,0,0,0,0,0,0,0,0,,,,
17,2,2,1,2,0,0,0,0,0,0,0,0,0,0,,,,
18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
19,2,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
