,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,3,7,5,1,3,6,7,6,10,9,13,6,8,13
2,1,0,1,2,1,1,0,6,2,3,1,3,4,11
3,3,2,1,3,1,1,9,6,1,1,3,12,8,11
4,5,1,2,2,5,4,4,9,4,6,7,6,5,7
5,3,1,1,0,3,2,1,0,4,3,1,0,3,0
6,3,3,3,1,2,3,1,1,3,2,3,3,0,0
7,3,0,3,0,2,2,1,0,1,3,1,0,0,0
8,1,0,3,3,0,2,1,0,1,1,0,0,0,0
9,3,0,5,3,5,1,1,0,5,0,0,0,0,0
10,7,1,1,2,1,0,0,3,0,0,0,0,0,0
11,4,2,4,4,2,1,9,0,0,0,0,0,0,0
12,3,0,2,2,1,4,0,0,0,0,0,0,0,0
13,3,1,0,0,1,1,0,0,0,0,0,0,0,0
14,2,3,0,1,3,0,0,0,0,0,0,0,0,0
15,2,2,1,2,0,0,0,0,0,0,0,0,0,0
16,1,3,2,0,0,0,0,0,0,0,0,0,0,0
17,6,5,0,0,0,0,0,0,0,0,0,0,0,0
18,4,0,0,0,0,0,0,0,0,0,0,0,0,0
