,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,2,2,0,0,3,6,3,3,2,2,6,4,12,12
2,3,0,1,0,1,5,8,2,10,5,5,4,10,16
3,6,7,4,1,5,2,2,1,4,10,4,8,11,9
4,3,1,3,2,2,0,1,5,3,1,4,2,5,5
5,2,2,0,0,0,4,1,1,2,0,0,4,5,0
6,5,4,6,2,1,0,5,4,2,3,7,5,0,0
7,1,1,0,0,1,3,0,1,3,3,3,0,0,0
8,5,2,3,0,5,2,5,2,6,6,0,0,0,0
9,4,1,5,3,3,2,4,2,2,0,0,0,0,0
10,3,0,1,0,2,6,11,4,0,0,0,0,0,0
11,5,1,1,0,4,0,5,0,0,0,0,0,0,0
12,3,2,3,1,3,5,0,0,0,0,0,0,0,0
13,6,0,1,0,3,0,0,0,0,0,0,0,0,0
14,4,6,3,2,0,0,0,0,0,0,0,0,0,0
15,3,1,2,0,0,0,0,0,0,0,0,0,0,0
16,4,4,2,0,0,0,0,0,0,0,0,0,0,0
17,3,5,0,0,0,0,0,0,0,0,0,0,0,0
18,4,0,0,0,0,0,0,0,0,0,0,0,0,0
