,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,,,,
1,4,4,1,3,5,5,4,4,5,6,3,4,4,7,,,,
2,2,0,1,2,0,1,0,0,3,3,0,4,2,4,,,,
3,3,5,1,2,2,1,2,4,2,2,4,6,5,5,,,,
4,2,2,2,1,5,1,4,1,2,2,3,8,6,7,,,,
5,1,3,1,0,1,1,1,0,3,0,1,1,4,3,,,,
6,0,0,1,1,1,0,0,2,2,1,2,0,2,0,,,,
7,2,2,3,4,6,3,2,8,8,0,7,7,0,0,,,,
8,0,1,1,0,1,1,3,4,5,4,5,0,0,0,,,,
9,3,0,0,0,2,1,3,5,3,1,0,0,0,0,,,,
10,1,1,2,0,1,0,0,1,2,0,0,0,0,0,,,,
11,1,1,1,5,0,1,8,7,0,0,0,0,0,0,,,,
12,6,3,2,4,2,3,3,0,0,0,0,0,0,0,,,,
13,4,6,1,3,2,4,0,0,0,0,0,0,0,0,,,,
14,2,0,2,1,0,0,0,0,0,0,0,0,0,0,,,,
15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,
16,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,
17,4,3,4,0,0,0,0,0,0,0,0,0,0,0,,,,
18,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
