,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,,,,
1,4,1,0,2,0,1,1,6,4,6,6,9,16,15,,,,
2,2,2,2,2,1,4,2,4,4,1,2,5,1,7,,,,
3,4,1,0,3,0,1,1,3,2,3,3,2,0,2,,,,
4,6,2,3,5,2,0,2,3,6,5,5,6,7,2,,,,
5,1,1,0,2,1,3,3,2,2,0,0,1,9,0,,,,
6,1,1,0,1,5,2,3,2,2,8,3,10,0,0,,,,
7,3,1,1,2,1,4,1,0,3,1,5,0,0,0,,,,
8,2,1,0,1,1,1,3,3,0,3,0,0,0,0,,,,
9,4,0,2,2,2,5,2,8,6,0,0,0,0,0,,,,
10,3,2,1,6,2,7,6,4,0,0,0,0,0,0,,,,
11,1,0,4,2,2,0,5,0,0,0,0,0,0,0,,,,
12,1,0,1,2,1,2,0,0,0,0,0,0,0,0,,,,
13,3,2,0,3,4,0,0,0,0,0,0,0,0,0,,,,
14,4,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,
15,3,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,
16,3,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,
17,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,
18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
