,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,,,,
1,2,4,4,3,1,0,0,2,1,1,2,3,13,,,,
2,2,2,3,2,3,2,0,2,4,6,1,3,8,,,,
3,3,4,4,8,4,7,13,15,0,6,7,7,6,,,,
4,2,1,2,4,1,2,1,6,8,7,3,5,4,,,,
5,6,4,2,2,4,2,1,7,13,9,1,6,0,,,,
6,3,1,3,0,4,2,1,2,4,4,4,0,0,,,,
7,3,2,4,3,1,2,1,1,9,5,0,0,0,,,,
8,1,0,1,0,0,0,0,1,3,0,0,0,0,,,,
9,5,6,5,0,7,6,0,4,0,0,0,0,0,,,,
10,7,6,5,3,2,8,9,0,0,0,0,0,0,,,,
11,6,4,3,11,7,6,0,0,0,0,0,0,0,,,,
12,2,3,3,1,3,0,0,0,0,0,0,0,0,,,,
13,2,2,0,3,0,0,0,0,0,0,0,0,0,,,,
14,2,5,6,0,0,0,0,0,0,0,0,0,0,,,,
15,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,
16,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,
