,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,3,3,2,4,4,2,2,1,1,2,2,1,5,5
2,4,3,2,2,2,1,5,4,8,3,5,7,6,6
3,8,0,0,0,0,0,4,2,2,7,1,1,5,10
4,5,4,4,7,6,0,4,5,1,6,4,6,9,5
5,1,2,3,2,0,1,0,0,2,3,7,3,6,0
6,0,0,0,1,0,4,0,0,1,0,0,2,0,0
7,3,5,1,2,7,5,5,5,10,2,4,0,0,0
8,2,0,3,3,1,1,1,6,1,3,0,0,0,0
9,0,0,1,0,0,3,1,1,2,0,0,0,0,0
10,4,2,5,2,2,5,4,4,0,0,0,0,0,0
11,6,4,2,3,1,2,3,0,0,0,0,0,0,0
12,1,0,0,0,3,7,0,0,0,0,0,0,0,0
13,2,0,0,1,3,0,0,0,0,0,0,0,0,0
14,2,0,1,1,2,0,0,0,0,0,0,0,0,0
15,7,4,5,5,0,0,0,0,0,0,0,0,0,0
16,3,1,5,0,0,0,0,0,0,0,0,0,0,0
17,1,6,0,0,0,0,0,0,0,0,0,0,0,0
18,9,0,0,0,0,0,0,0,0,0,0,0,0,0
