,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,1,1,0,0,2,1,3,1,2,11,7,3,4,9
2,2,0,3,1,1,2,2,3,1,2,3,3,1,7
3,1,0,4,0,1,2,0,0,0,1,0,0,1,4
4,1,1,2,2,4,6,2,1,1,0,1,1,2,7
5,1,1,0,1,1,2,2,1,1,1,2,0,4,3
6,4,1,1,1,0,0,1,9,4,3,2,2,8,3
7,4,3,1,0,3,0,0,3,2,0,1,5,2,0
8,1,0,1,1,0,1,0,1,3,2,3,2,3,0
9,2,0,1,1,0,0,1,7,1,3,3,4,0,0
10,1,2,1,0,0,5,1,4,6,2,3,0,0,0
11,1,3,2,2,5,7,2,3,2,5,0,0,0,0
12,1,0,2,1,0,1,1,0,2,0,0,0,0,0
13,1,0,2,2,1,0,0,3,0,0,0,0,0,0
14,2,2,3,1,2,4,7,0,0,0,0,0,0,0
15,3,6,2,2,3,5,0,0,0,0,0,0,0,0
16,0,1,8,2,8,0,0,0,0,0,0,0,0,0
17,3,2,4,1,0,0,0,0,0,0,0,0,0,0
18,1,4,2,0,0,0,0,0,0,0,0,0,0,0
19,4,8,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0
