,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,2,0,1,2,0,1,4,4,6,0,4,4,3,8
2,4,6,3,4,0,4,3,9,2,4,5,2,5,17
3,0,1,0,1,0,3,0,1,3,4,2,3,3,6
4,0,0,4,1,0,2,0,0,2,3,0,0,0,3
5,4,2,1,1,3,0,3,0,1,2,4,2,7,3
6,1,0,1,1,1,1,0,0,0,1,1,0,3,2
7,2,0,2,5,1,3,4,3,1,4,6,6,4,0
8,0,0,0,1,0,1,1,0,0,0,0,1,0,0
9,2,2,1,2,4,3,5,2,3,4,4,0,0,0
10,1,1,1,0,2,1,0,1,2,0,3,0,0,0
11,1,0,0,0,1,4,2,1,0,5,0,0,0,0
12,0,0,4,0,0,0,2,1,4,0,0,0,0,0
13,1,1,3,2,3,2,1,13,0,0,0,0,0,0
14,0,0,0,2,3,3,4,0,0,0,0,0,0,0
15,1,1,2,0,1,2,0,0,0,0,0,0,0,0
16,2,3,3,1,3,0,0,0,0,0,0,0,0,0
17,1,1,2,1,0,0,0,0,0,0,0,0,0,0
18,0,2,4,0,0,0,0,0,0,0,0,0,0,0
19,9,6,0,0,0,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,0,0,0,0,0
