,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,2,1,2,2,0,3,0,1,1,6,5,10,4,9
2,1,0,0,1,3,0,2,3,0,1,8,3,2,7
3,3,1,1,0,1,3,4,3,2,1,3,1,3,5
4,7,0,5,3,2,2,6,1,4,2,1,2,4,8
5,4,1,4,2,3,0,1,3,2,1,2,5,6,2
6,2,2,0,2,5,3,5,7,5,2,9,8,6,0
7,2,0,2,4,2,1,0,1,0,1,2,2,0,0
8,2,0,0,0,2,1,1,1,3,7,5,0,0,0
9,3,0,1,0,1,0,2,1,1,0,0,0,0,0
10,5,3,3,6,5,5,10,3,6,0,0,0,0,0
11,6,3,8,0,3,1,11,4,0,0,0,0,0,0
12,2,0,2,1,1,2,6,0,0,0,0,0,0,0
13,6,1,0,1,2,3,0,0,0,0,0,0,0,0
14,1,1,0,2,2,0,0,0,0,0,0,0,0,0
15,3,0,1,9,0,0,0,0,0,0,0,0,0,0
16,3,3,5,0,0,0,0,0,0,0,0,0,0,0
17,4,3,0,0,0,0,0,0,0,0,0,0,0,0
18,4,0,0,0,0,0,0,0,0,0,0,0,0,0
