,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,9,3,2,2,2,4,3,3,1,1,5,5,6,9
2,6,1,4,0,0,0,0,8,5,3,2,13,3,10
3,8,0,3,3,2,3,3,1,2,4,5,9,6,5
4,1,1,1,1,2,1,0,0,0,1,0,2,1,2
5,4,1,1,6,0,0,0,8,6,4,3,6,14,0
6,7,1,4,6,0,0,0,1,3,0,4,6,0,0
7,6,4,2,1,2,0,2,4,3,0,5,0,0,0
8,11,6,2,3,9,6,4,7,2,11,0,0,0,0
9,3,0,5,2,4,1,0,0,3,0,0,0,0,0
10,7,5,14,3,5,5,6,6,0,0,0,0,0,0
11,9,3,2,1,1,1,1,0,0,0,0,0,0,0
12,7,2,2,3,2,3,1,0,0,0,0,0,0,0
13,2,0,1,2,4,4,0,0,0,0,0,0,0,0
14,4,1,1,1,3,0,0,0,0,0,0,0,0,0
15,8,4,0,0,0,0,0,0,0,0,0,0,0,0
16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
