,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,2,1,5,2,1,2,3,3,5,5,7,7,5,9
2,4,1,2,2,0,2,3,3,2,3,5,5,2,5
3,2,4,2,6,1,1,4,2,5,0,6,6,5,6
4,0,0,0,1,0,1,1,2,1,0,1,3,2,1
5,1,2,2,1,0,1,2,0,0,4,4,3,4,0
6,1,0,2,1,2,0,9,0,1,4,3,6,0,0
7,3,3,1,6,3,8,6,14,10,3,7,0,0,0
8,3,2,0,0,0,1,0,1,0,8,0,0,0,0
9,5,0,1,1,3,1,4,3,5,0,0,0,0,0
10,1,4,5,4,2,6,5,7,0,0,0,0,0,0
11,1,0,1,2,2,3,5,0,0,0,0,0,0,0
12,2,3,2,8,2,2,0,0,0,0,0,0,0,0
13,5,4,1,2,2,0,0,0,0,0,0,0,0,0
14,2,0,0,2,1,0,0,0,0,0,0,0,0,0
15,0,1,3,6,0,0,0,0,0,0,0,0,0,0
16,0,6,4,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
