,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,6,1,1,3,0,3,7,7,4,5,4,9,7,10
2,2,3,0,0,1,0,2,3,3,6,1,1,3,10
3,1,3,3,1,3,0,0,1,1,0,3,0,1,4
4,3,0,1,4,3,1,0,0,1,1,1,2,2,6
5,2,0,0,0,0,1,0,2,0,1,3,3,3,0
6,1,0,0,0,0,0,0,0,0,1,3,3,5,0
7,2,0,3,2,1,1,1,4,4,1,2,4,0,0
8,4,3,4,7,2,2,2,4,5,2,2,3,0,0
9,1,2,1,2,2,1,3,4,6,4,9,0,0,0
10,5,3,1,2,3,5,9,1,2,2,0,0,0,0
11,3,0,1,5,3,0,1,1,0,0,0,0,0,0
12,0,0,1,0,2,7,5,7,0,0,0,0,0,0
13,1,0,1,0,0,1,1,0,0,0,0,0,0,0
14,5,1,1,0,4,2,0,0,0,0,0,0,0,0
15,2,4,1,1,6,0,0,0,0,0,0,0,0,0
16,2,2,6,2,0,0,0,0,0,0,0,0,0,0
17,4,2,4,2,0,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1,2,0,0,0,0,0,0,0,0,0,0,0,0
20,9,0,0,0,0,0,0,0,0,0,0,0,0,0
