,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,,,,
1,9,3,0,2,8,3,1,3,4,3,4,4,17,,,,
2,1,1,1,3,1,4,1,2,2,9,8,5,15,,,,
3,12,3,7,1,4,8,12,9,13,6,10,9,10,,,,
4,1,0,1,2,1,0,1,1,3,1,0,3,2,,,,
5,7,2,3,5,4,3,1,1,3,3,4,4,0,,,,
6,5,4,2,1,2,2,2,2,0,5,3,0,0,,,,
7,4,5,3,1,1,3,3,2,2,5,0,0,0,,,,
8,6,5,2,4,5,5,8,1,6,0,0,0,0,,,,
9,4,3,3,4,8,2,5,4,0,0,0,0,0,,,,
10,5,1,1,1,2,0,4,0,0,0,0,0,0,,,,
11,3,2,3,5,2,5,0,0,0,0,0,0,0,,,,
12,5,6,4,2,7,0,0,0,0,0,0,0,0,,,,
13,1,2,1,0,0,0,0,0,0,0,0,0,0,,,,
14,2,0,4,0,0,0,0,0,0,0,0,0,0,,,,
15,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,
16,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
