,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,,,,
1,3,0,0,0,0,0,0,4,3,2,4,3,2,6,,,,
2,2,0,2,0,1,1,2,2,6,8,2,3,4,7,,,,
3,8,3,2,4,5,3,3,3,4,5,5,7,8,8,,,,
4,3,1,2,0,1,0,1,1,3,0,1,1,4,3,,,,
5,7,0,0,1,2,4,3,1,0,1,2,0,0,3,,,,
6,8,1,2,0,1,2,2,0,2,5,5,4,6,0,,,,
7,2,0,0,0,0,0,0,3,0,0,1,2,0,0,,,,
8,3,1,1,1,1,1,0,2,0,0,2,0,0,0,,,,
9,5,0,0,3,4,2,0,1,1,3,4,0,0,0,,,,
10,5,3,2,2,3,2,1,3,2,5,0,0,0,0,,,,
11,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,,,
12,11,1,5,3,2,1,3,6,0,0,0,0,0,0,,,,
13,5,4,1,3,2,2,3,0,0,0,0,0,0,0,,,,
14,2,2,1,0,2,1,0,0,0,0,0,0,0,0,,,,
15,1,0,1,2,0,2,0,0,0,0,0,0,0,0,,,,
16,5,3,2,5,2,0,0,0,0,0,0,0,0,0,,,,
17,4,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,
18,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,
19,2,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
