,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,2,1,1,1,0,2,1,1,1,2,2,2,3,6
2,8,9,4,1,6,7,5,1,3,2,7,7,8,10
3,0,0,0,0,3,3,0,0,2,1,2,1,7,6
4,9,3,3,1,2,5,5,3,6,1,2,1,0,7
5,2,0,0,0,0,3,0,0,0,0,1,1,0,1
6,6,5,5,2,2,2,1,0,0,0,0,2,5,1
7,1,1,0,4,0,2,2,0,0,0,4,4,0,0
8,8,3,3,3,4,2,9,8,1,8,10,2,0,0
9,0,0,0,0,2,0,0,0,0,2,0,0,0,0
10,7,0,0,4,1,1,0,5,2,3,0,0,0,0
11,0,2,1,0,1,1,1,1,0,0,0,0,0,0
12,4,2,2,2,4,2,1,3,4,1,0,0,0,0
13,2,7,3,1,0,0,0,0,0,0,0,0,0,0
14,2,2,2,2,0,2,0,0,0,0,0,0,0,0
15,1,0,2,0,2,0,0,0,0,0,0,0,0,0
16,2,0,0,6,1,0,0,0,0,0,0,0,0,0
17,2,0,4,0,0,0,0,0,0,0,0,0,0,0
18,3,2,0,0,0,0,0,0,0,0,0,0,0,0
