,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,2,0,2,2,4,2,1,6,5,1,6,7,7,8
2,9,7,1,3,2,2,1,1,3,0,4,3,3,3
3,3,1,7,1,0,0,4,3,3,2,1,4,6,3
4,1,1,0,1,1,4,0,1,0,0,1,1,0,5
5,6,2,0,1,5,6,1,0,2,2,1,4,8,3
6,1,0,0,2,0,1,3,1,2,0,1,1,6,0
7,0,1,1,1,0,2,0,0,2,0,4,4,0,0
8,3,1,3,1,1,2,5,3,7,14,9,0,0,0
9,1,0,0,1,0,1,0,1,0,0,0,0,0,0
10,3,1,1,1,1,1,1,4,6,0,0,0,0,0
11,3,3,0,2,0,0,2,2,0,0,0,0,0,0
12,3,1,1,1,3,4,4,0,0,0,0,0,0,0
13,6,4,3,3,7,6,0,0,0,0,0,0,0,0
14,1,2,0,1,2,0,0,0,0,0,0,0,0,0
15,0,1,1,5,0,0,0,0,0,0,0,0,0,0
16,4,0,4,0,0,0,0,0,0,0,0,0,0,0
17,1,5,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
