,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,2,2,2,2,1,2,7,8,5,6,5,4,12,12
2,3,3,0,2,5,2,5,3,3,2,4,5,4,10
3,6,4,5,1,3,5,4,5,3,3,3,2,2,3
4,1,1,1,3,1,1,4,2,1,4,9,2,4,7
5,3,0,0,1,2,2,5,1,4,4,3,4,2,2
6,3,1,1,4,3,1,1,0,4,2,3,2,2,0
7,1,2,6,2,1,1,2,3,2,6,4,4,0,0
8,2,3,1,3,1,3,3,5,3,1,3,0,0,0
9,1,1,0,0,0,2,0,1,0,0,0,0,0,0
10,0,3,3,3,0,1,5,4,2,0,0,0,0,0
11,1,0,1,3,1,1,0,1,0,0,0,0,0,0
12,1,0,5,7,1,1,3,0,0,0,0,0,0,0
13,2,4,3,1,3,3,0,0,0,0,0,0,0,0
14,1,0,1,1,4,0,0,0,0,0,0,0,0,0
15,5,1,2,2,0,0,0,0,0,0,0,0,0,0
16,1,2,4,0,0,0,0,0,0,0,0,0,0,0
17,0,4,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
