,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,,,,
1,0,5,6,6,2,2,7,3,2,7,6,5,3,15,,,,
2,3,2,9,5,3,7,7,4,5,4,9,10,13,17,,,,
3,4,4,10,4,4,2,6,3,3,6,5,6,5,8,,,,
4,3,0,4,0,3,2,3,11,1,9,8,4,9,0,,,,
5,3,3,3,2,3,2,4,3,0,2,5,4,0,0,,,,
6,1,1,3,2,3,1,1,1,2,3,5,0,0,0,,,,
7,1,0,1,1,1,2,3,1,4,3,0,0,0,0,,,,
8,4,9,8,6,5,6,7,4,11,0,0,0,0,0,,,,
9,1,3,4,1,3,4,4,3,0,0,0,0,0,0,,,,
10,5,4,8,1,4,4,9,0,0,0,0,0,0,0,,,,
11,3,4,3,4,6,1,0,0,0,0,0,0,0,0,,,,
12,6,3,3,1,3,0,0,0,0,0,0,0,0,0,,,,
13,2,5,8,3,0,0,0,0,0,0,0,0,0,0,,,,
14,2,7,3,0,0,0,0,0,0,0,0,0,0,0,,,,
15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
