,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,1,0,2,3,6,3,4,4,3,2,2,3,6,11
2,3,1,0,3,1,3,0,4,3,2,4,3,5,10
3,1,2,4,4,1,4,7,5,3,5,7,7,3,4
4,5,3,1,4,5,5,1,3,6,8,8,9,7,0
5,2,6,2,1,2,4,6,0,0,7,1,6,0,0
6,3,3,2,0,2,0,3,2,1,3,4,0,0,0
7,0,2,4,1,2,0,6,2,1,3,0,0,0,0
8,2,2,5,5,1,2,2,7,3,0,0,0,0,0
9,2,1,4,6,3,4,7,5,0,0,0,0,0,0
10,1,1,2,2,1,1,6,0,0,0,0,0,0,0
11,1,1,1,4,1,3,0,0,0,0,0,0,0,0
12,1,0,2,1,1,0,0,0,0,0,0,0,0,0
13,1,0,1,2,0,0,0,0,0,0,0,0,0,0
14,3,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2,3,0,0,0,0,0,0,0,0,0,0,0,0
16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
